SMD,2022-10-19 reg,2024-09-04 reg,2022-11-08 cast,2024-11-05 unofficial,2022-11-08 pct of whole,2022 turnout
2D01,1061,899,545,594,0.01952784186532812,51.36663524976437
2D02,1090,935,540,593,0.019348687352802173,49.54128440366973
2E01,1281,1179,490,696,0.01755714222754271,38.25136612021858
2E02,1067,938,441,612,0.015801428004788443,41.33083411433927
2E03,1215,1093,438,663,0.015693935297272876,36.04938271604938
2E04,9,8,6,6,0.00021498541503113528,66.66666666666666
2E05,971,863,350,520,0.012540815876816224,36.04531410916581
2E06,1457,1380,701,869,0.025117462656137634,48.11256005490734
2E07,1543,1225,722,833,0.02586991160874661,46.79196370706416
2E08,196,163,56,260,0.002006530540290596,28.57142857142857
2F01,1560,1443,725,766,0.02597740431626218,46.47435897435898
2F02,1513,1314,693,763,0.024830815436096124,45.80304031725049
2F03,1368,1128,641,826,0.022967608505826284,46.856725146198826
2F04,1407,1133,560,740,0.020065305402905957,39.800995024875625
2F05,1061,811,383,541,0.013723235659487468,36.098020735155515
2F06,1345,1127,526,591,0.018847054717729524,39.10780669144982
2F07,1270,1157,522,661,0.018703731107708767,41.10236220472441
2F08,1228,1053,517,506,0.018524576595182824,42.10097719869707
2G01,1415,1312,581,689,0.02081775435551493,41.06007067137809
2G02,1682,1478,677,823,0.024257520996013096,40.249702734839474
2G03,1768,1654,722,921,0.02586991160874661,40.83710407239819
2G04,1304,1080,551,478,0.019742827280359254,42.25460122699386
2G05,1409,1215,493,592,0.01766463493505828,34.98935415188076
2G06,1775,1568,786,792,0.028163089369078718,44.28169014084507
3/4G01,1664,1596,974,1093,0.03489929904005429,58.53365384615385
3/4G02,1569,1493,1049,982,0.03758661672794348,66.8578712555768
3/4G03,1668,1617,1055,1083,0.037801602142974615,63.249400479616305
3/4G04,1613,1557,949,1051,0.03400352647742456,58.83446993180409
3/4G05,1615,1533,955,1152,0.03421851189245569,59.133126934984524
3/4G06,1599,1444,868,1054,0.031101223374504237,54.283927454659164
3/4G07,1400,1250,709,969,0.025404109876179148,50.642857142857146
3A01,1619,1570,744,1267,0.026658191463860774,45.954292773316865
3A02,1390,1150,630,862,0.022573468578269203,45.32374100719424
3A03,1342,1136,643,821,0.023039270310836663,47.91356184798808
3A04,923,881,463,500,0.016589707859902606,50.16251354279523
3A05,1351,1134,679,775,0.024329182801023475,50.259067357512954
3B01,1296,1048,490,740,0.01755714222754271,37.808641975308646
3B02,1455,1222,665,829,0.023827550165950825,45.70446735395189
3B03,1634,1241,625,837,0.022394314065743257,38.24969400244798
3B04,1429,1296,905,988,0.03242696676719623,63.33100069979006
3B05,1438,1204,655,766,0.023469241140898933,45.549374130737135
3B06,1143,1000,602,762,0.021570203308123904,52.66841644794401
3C01,1593,1376,790,889,0.028306412979099478,49.59196484620214
3C02,1643,1274,797,766,0.0285572292966358,48.50882531953743
3C03,1704,1414,875,1113,0.031352039692040555,51.34976525821596
3C04,1655,1361,952,1110,0.034111019184940125,57.522658610271904
3C05,1671,1454,968,1038,0.03468431362502316,57.92938360263315
3C06,1630,1245,839,1053,0.030062127201853747,51.472392638036816
3C07,1440,1364,864,886,0.030957899764483477,60.0
3C08,1400,1329,783,934,0.028055596661563154,55.92857142857143
3D01,1352,1316,718,909,0.025726587998725854,53.10650887573964
3D02,1372,1307,705,929,0.025260786266158394,51.38483965014578
3D03,1347,1241,722,919,0.02586991160874661,53.60059391239792
3D04,1441,1369,818,962,0.029309678249244776,56.76613462873005
3D05,1037,997,547,685,0.019599503670338497,52.74831243972999
3D06,1411,1186,615,783,0.022036005040691364,43.58610914245216
3D07,1337,1301,646,810,0.02314676301835223,48.317127898279736
3E01,1312,1209,790,928,0.028306412979099478,60.213414634146346
3E02,1407,1327,873,1027,0.031280377887030184,62.046908315565034
3E03,1580,1489,850,1007,0.030456267129410828,53.79746835443038
3E04,1414,1326,785,951,0.028127258466573532,55.51626591230552
3E05,1143,1102,738,821,0.02644320604882964,64.56692913385827
3E06,1363,1343,879,997,0.03149536330206132,64.49009537784299
3E07,26,12,12,9,0.00042997083006227055,46.15384615384615
